"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_53970",-2.3504,-0.0192,-1.7131,-0.5224,-1.5625,-0.7358,-1.2594,-0.5016,-0.0211,-0.7508,-0.0915,-2.1627,-1.3143,0,-1.4844
"PA14_53980",-2.7056,-6.0818,-1.9025,2.0444,2.0625,2.3607,-3.4105,0.8402,-0.7373,1.2632,0.8555,-1.2804,-3.4096,0,-1.6844
"PA14_54000",-70.9635,-190.7744,-95.7954,158.0084,11.3954,-17.9628,19.0987,-5.4492,116.8821,-56.7992,-61.8756,-26.5714,8.9814,0,-33.2808
"PA14_54010",0.7943,1.9284,1.4627,-0.6745,-0.6745,0.571,1.1418,-0.6745,1.8876,0.2555,3.1823,0.7627,2.5956,0,-0.6745
"PA14_54040",-1.0873,-1.3356,0.0634,0.1338,-0.0832,-0.7274,-0.3856,0.1059,0.047,-0.0121,-1.5455,0.6354,0.1509,0,-0.0697
"PA14_54050",-0.6229,1.0388,0.2148,-1.2066,-2.1964,-0.7912,-0.36,0.8292,-0.2344,0.6826,-1.4822,0.6402,0.3133,0,-0.1958
"PA14_54070",-3.8586,3.715,3.3974,-0.3252,4.7751,-1.3883,5.0322,4.5604,0.8053,4.0243,7.7272,0.9603,-1.622,0,4.4122
"PA14_54080",-0.6745,0.451,-0.1902,0.3544,0.0288,0.3607,0.4476,-0.2062,-0.0436,0.4484,0.1503,-0.357,0.4404,0,0.6336
"PA14_54090",-4.8639,-1.7098,-1.7963,0.3726,-1.5974,-0.1977,0.143,-0.0171,-1.8016,1.409,1.5356,-4.366,0.4355,0,-0.4161
"PA14_54110",0.0411,-1.3279,1.1382,1.6772,-0.6093,0.7303,1.4035,0.5356,0.0941,0.5604,0.769,-0.3676,-0.2844,0,0.5277
"PA14_54120",-3.0896,-0.9708,2.9612,9.4846,-0.6244,0.7008,0.2102,-1.774,0.9039,0.9662,-1.6106,1.6515,-1.0406,0,-0.2524
"PA14_54130",-6.2853,9.8249,7.1747,-1.341,5.181,0.7998,-0.772,1.4166,7.0295,20.3422,6.7469,17.2701,-0.4755,0,-6.2833
